timestamp:,sale price
4:58:51 PM,104,4:58:51 PM104
4:58:51 PM,92,4:58:51 PM92
4:58:39 PM,427,4:58:39 PM427
4:58:28 PM,306,4:58:28 PM306
4:58:17 PM,96,4:58:17 PM96
4:58:16 PM,"2,696","4:58:16 PM2,696"
4:57:51 PM,111,4:57:51 PM111
4:57:51 PM,95,4:57:51 PM95
4:57:18 PM,88,4:57:18 PM88
4:57:18 PM,94,4:57:18 PM94
4:56:53 PM,452,4:56:53 PM452
4:56:53 PM,"7,170","4:56:53 PM7,170"
4:56:52 PM,99,4:56:52 PM99
4:56:51 PM,497,4:56:51 PM497
4:56:28 PM,"1,100","4:56:28 PM1,100"
4:55:55 PM,901,4:55:55 PM901
4:55:54 PM,80,4:55:54 PM80
4:55:54 PM,92,4:55:54 PM92
4:55:54 PM,79,4:55:54 PM79
4:55:43 PM,"55,899","4:55:43 PM55,899"
4:55:41 PM,343,4:55:41 PM343
5:05:29 PM,995,5:05:29 PM995
5:05:28 PM,"3,902","5:05:28 PM3,902"
5:05:26 PM,102,5:05:26 PM102
5:04:43 PM,"2,701","5:04:43 PM2,701"
5:04:38 PM,"1,681","5:04:38 PM1,681"
5:04:38 PM,"70,000","5:04:38 PM70,000"
5:04:29 PM,"5,969","5:04:29 PM5,969"
5:03:54 PM,294,5:03:54 PM294
5:03:41 PM,86,5:03:41 PM86
5:03:41 PM,"7,001","5:03:41 PM7,001"
5:03:32 PM,183,5:03:32 PM183
5:03:19 PM,257,5:03:19 PM257
5:03:17 PM,"2,507","5:03:17 PM2,507"
5:03:09 PM,200,5:03:09 PM200
5:03:09 PM,"20,004","5:03:09 PM20,004"
5:02:56 PM,296,5:02:56 PM296
5:02:44 PM,899,5:02:44 PM899
5:01:45 PM,86,5:01:45 PM86
5:01:13 PM,87,5:01:13 PM87
5:01:12 PM,"3,146","5:01:12 PM3,146"
5:01:10 PM,527,5:01:10 PM527
5:00:48 PM,100,5:00:48 PM100
5:00:48 PM,46,5:00:48 PM46
5:00:48 PM,93,5:00:48 PM93
5:00:37 PM,161,5:00:37 PM161
5:00:28 PM,136,5:00:28 PM136
5:00:02 PM,550,5:00:02 PM550
4:59:51 PM,718,4:59:51 PM718
4:59:51 PM,"2,901","4:59:51 PM2,901"
4:59:50 PM,96,4:59:50 PM96
4:59:14 PM,250,4:59:14 PM250
4:59:14 PM,"3,496","4:59:14 PM3,496"
4:58:51 PM,104,4:58:51 PM104
4:58:51 PM,92,4:58:51 PM92
4:58:39 PM,427,4:58:39 PM427
4:58:28 PM,306,4:58:28 PM306
4:58:17 PM,96,4:58:17 PM96
4:58:16 PM,"2,696","4:58:16 PM2,696"
4:57:51 PM,111,4:57:51 PM111
4:57:51 PM,95,4:57:51 PM95
4:57:18 PM,88,4:57:18 PM88
4:57:18 PM,94,4:57:18 PM94
4:56:53 PM,452,4:56:53 PM452
4:56:53 PM,"7,170","4:56:53 PM7,170"
4:56:52 PM,99,4:56:52 PM99
4:56:51 PM,497,4:56:51 PM497
4:56:28 PM,"1,100","4:56:28 PM1,100"
4:55:55 PM,901,4:55:55 PM901
4:55:54 PM,80,4:55:54 PM80
4:55:54 PM,92,4:55:54 PM92
5:06:58 PM,"2,501","5:06:58 PM2,501"
5:06:36 PM,"2,086","5:06:36 PM2,086"
5:06:35 PM,407,5:06:35 PM407
5:06:35 PM,"1,129","5:06:35 PM1,129"
5:06:34 PM,865,5:06:34 PM865
5:06:34 PM,"1,687","5:06:34 PM1,687"
5:06:15 PM,561,5:06:15 PM561
5:06:10 PM,"15,997","5:06:10 PM15,997"
5:06:10 PM,"1,092","5:06:10 PM1,092"
5:05:29 PM,995,5:05:29 PM995
5:05:28 PM,"3,902","5:05:28 PM3,902"
5:05:26 PM,102,5:05:26 PM102
5:04:43 PM,"2,701","5:04:43 PM2,701"
5:04:38 PM,"1,681","5:04:38 PM1,681"
5:04:38 PM,"70,000","5:04:38 PM70,000"
5:04:29 PM,"5,969","5:04:29 PM5,969"
5:03:54 PM,294,5:03:54 PM294
5:03:41 PM,86,5:03:41 PM86
5:03:41 PM,"7,001","5:03:41 PM7,001"
5:03:32 PM,183,5:03:32 PM183
5:03:19 PM,257,5:03:19 PM257
5:03:17 PM,"2,507","5:03:17 PM2,507"
5:03:09 PM,200,5:03:09 PM200
5:03:09 PM,"20,004","5:03:09 PM20,004"
5:02:56 PM,296,5:02:56 PM296
5:02:44 PM,899,5:02:44 PM899
5:01:45 PM,86,5:01:45 PM86
5:01:13 PM,87,5:01:13 PM87
5:01:12 PM,"3,146","5:01:12 PM3,146"
5:01:10 PM,527,5:01:10 PM527
5:00:48 PM,100,5:00:48 PM100
5:00:48 PM,46,5:00:48 PM46
5:00:48 PM,93,5:00:48 PM93
5:00:37 PM,161,5:00:37 PM161
5:00:28 PM,136,5:00:28 PM136
5:00:02 PM,550,5:00:02 PM550
4:59:51 PM,718,4:59:51 PM718
4:59:51 PM,"2,901","4:59:51 PM2,901"
4:59:50 PM,96,4:59:50 PM96
4:59:14 PM,250,4:59:14 PM250
4:59:14 PM,"3,496","4:59:14 PM3,496"
4:58:51 PM,104,4:58:51 PM104
4:58:51 PM,92,4:58:51 PM92
4:58:39 PM,427,4:58:39 PM427
4:58:28 PM,306,4:58:28 PM306
4:58:17 PM,96,4:58:17 PM96
4:58:16 PM,"2,696","4:58:16 PM2,696"
4:57:51 PM,111,4:57:51 PM111
4:57:51 PM,95,4:57:51 PM95
4:57:18 PM,88,4:57:18 PM88
5:07:52 PM,997,5:07:52 PM997
5:06:58 PM,"2,501","5:06:58 PM2,501"
5:06:36 PM,"2,086","5:06:36 PM2,086"
5:06:35 PM,407,5:06:35 PM407
5:06:35 PM,"1,129","5:06:35 PM1,129"
5:06:34 PM,865,5:06:34 PM865
5:06:34 PM,"1,687","5:06:34 PM1,687"
5:06:15 PM,561,5:06:15 PM561
5:06:10 PM,"15,997","5:06:10 PM15,997"
5:06:10 PM,"1,092","5:06:10 PM1,092"
5:05:29 PM,995,5:05:29 PM995
5:05:28 PM,"3,902","5:05:28 PM3,902"
5:05:26 PM,102,5:05:26 PM102
5:04:43 PM,"2,701","5:04:43 PM2,701"
5:04:38 PM,"1,681","5:04:38 PM1,681"
5:04:38 PM,"70,000","5:04:38 PM70,000"
5:04:29 PM,"5,969","5:04:29 PM5,969"
5:03:54 PM,294,5:03:54 PM294
5:03:41 PM,86,5:03:41 PM86
5:03:41 PM,"7,001","5:03:41 PM7,001"
5:03:32 PM,183,5:03:32 PM183
5:03:19 PM,257,5:03:19 PM257
5:03:17 PM,"2,507","5:03:17 PM2,507"
5:03:09 PM,200,5:03:09 PM200
5:03:09 PM,"20,004","5:03:09 PM20,004"
